"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Langeliers, Shea",669127,"ATH","SI","Sinker",3,4,"137",17.6,"42","0.342","0.737","0.475",10.4,7.1,18.8,"0.358","0.712","0.476",57.1
"Taylor, Michael A.",572191,"CWS","FF","4-Seam Fastball",-2.5,-4,"160",35.1,"42","0.158","0.263","0.201",37,40.5,32.7,"0.185","0.377","0.262",56.5
"Soderstrom, Tyler",691016,"ATH","SI","Sinker",-0.9,-1,"155",17.6,"42","0.3","0.4","0.324",21.9,26.2,32.4,"0.287","0.47","0.341",55.2
"Urías, Ramón",602104,"BAL","FF","4-Seam Fastball",0.6,1,"155",28.2,"42","0.324","0.471","0.379",28.8,26.2,21.2,"0.169","0.273","0.293",60
"Vargas, Miguel",678246,"CWS","SI","Sinker",-0.9,-1,"153",16.3,"42","0.263","0.316","0.298",9,16.7,20,"0.303","0.498","0.374",54.8
"Arenado, Nolan",571448,"STL","SI","Sinker",-1.9,-3,"157",19.3,"42","0.25","0.3","0.271",7.7,7.1,10.7,"0.26","0.322","0.274",37.8
"Caminero, Junior",691406,"TB","FF","4-Seam Fastball",1.7,3,"157",19,"42","0.25","0.65","0.37",24.4,26.2,20.8,"0.254","0.554","0.347",60
"Durbin, Caleb",702332,"MIL","FF","4-Seam Fastball",-2.9,-4,"148",29.7,"41","0.114","0.229","0.209",6.3,4.9,7.4,"0.212","0.357","0.291",23.5
"Acuña, Luisangel",682668,"NYM","FF","4-Seam Fastball",-3.7,-5,"129",26.5,"41","0.167","0.25","0.214",13.2,17.1,25.9,"0.278","0.425","0.332",54.8
"Marte, Ketel",606466,"AZ","FF","4-Seam Fastball",5,7,"144",28.7,"41","0.424","0.818","0.56",13.1,14.6,15.8,"0.407","0.912","0.582",63
"Schanuel, Nolan",694384,"LAA","SI","Sinker",0.7,1,"149",17.2,"41","0.294","0.5","0.438",10.2,17.1,18.9,"0.288","0.498","0.389",35.7
"Crews, Dylan",686611,"WSH","FF","4-Seam Fastball",-0.6,-1,"163",26.3,"41","0.167","0.444","0.327",33.8,29.3,35.3,"0.269","0.559","0.39",58.3
"Yelich, Christian",592885,"MIL","SI","Sinker",-1.2,-2,"169",17.9,"41","0.152","0.242","0.279",23.1,12.2,12.2,"0.279","0.343","0.355",39.3
"Neto, Zach",687263,"LAA","SI","Sinker",0.1,0,"183",26.5,"41","0.324","0.432","0.366",16.9,22,24.3,"0.323","0.443","0.365",46.4
"Hoskins, Rhys",656555,"MIL","SI","Sinker",3,4,"143",16.3,"41","0.455","0.636","0.518",10.3,7.3,11.1,"0.393","0.583","0.473",53.3
"Butler, Lawrence",671732,"ATH","SI","Sinker",1.5,2,"139",15.1,"41","0.342","0.658","0.441",15.5,22,31,"0.231","0.401","0.3",41.4
"McLain, Matt",680574,"CIN","SI","Sinker",-1.4,-2,"145",17.4,"41","0.219","0.344","0.334",13.3,22,26.5,"0.251","0.423","0.372",50
"Ohtani, Shohei",660271,"LAD","CH","Changeup",0.6,1,"141",13.8,"41","0.167","0.389","0.288",43.8,34.1,29.2,"0.253","0.506","0.366",59.1
"Straw, Myles",664702,"TOR","FF","4-Seam Fastball",-0.4,-1,"151",39.8,"41","0.256","0.41","0.306",15.8,19.5,17,"0.24","0.439","0.306",38.7
"McLain, Matt",680574,"CIN","SL","Slider",-1.3,-2,"192",23,"41","0.179","0.256","0.215",42.2,39,25,"0.221","0.311","0.251",34.8
"García Jr., Luis",671277,"WSH","SI","Sinker",-0.1,0,"112",16.5,"41","0.286","0.429","0.354",4.9,4.9,9.1,"0.347","0.55","0.412",51.4
"Crews, Dylan",686611,"WSH","SI","Sinker",1.8,3,"143",23.1,"41","0.27","0.595","0.415",11.1,7.3,13.6,"0.311","0.674","0.442",44.1
"Judge, Aaron",592450,"NYY","SI","Sinker",8.6,11,"123",12.9,"41","0.564","0.846","0.637",5.4,7.3,15,"0.48","0.905","0.592",61.1
"Soderstrom, Tyler",691016,"ATH","CH","Changeup",-0.8,-1,"150",17,"41","0.189","0.27","0.249",27.1,17.1,17.5,"0.254","0.413","0.324",46.7
"Crawford, J.P.",641487,"SEA","SI","Sinker",0.1,0,"166",17,"41","0.306","0.417","0.354",14.1,12.2,15.6,"0.243","0.337","0.295",31.3
"Norby, Connor",681393,"MIA","FF","4-Seam Fastball",-1.1,-2,"136",28.4,"40","0.237","0.421","0.323",26.5,30,27.3,"0.241","0.5","0.331",42.3
"Walker, Jordan",691023,"STL","FF","4-Seam Fastball",0.8,1,"138",19.7,"40","0.25","0.611","0.39",26.9,32.5,27.7,"0.289","0.711","0.443",47.8
"Caminero, Junior",691406,"TB","SL","Slider",3.7,6,"152",18.4,"40","0.333","0.667","0.458",21.9,27.5,21.6,"0.266","0.497","0.344",55.6
"Story, Trevor",596115,"BOS","SL","Slider",1,2,"151",16.7,"40","0.27","0.459","0.341",34.5,20,17.4,"0.306","0.532","0.38",41.4
"Diaz, Yainer",673237,"HOU","SL","Slider",1,1,"149",22.2,"40","0.184","0.342","0.293",30.6,20,18.6,"0.306","0.614","0.403",40
"Massey, Michael",686681,"KC","CH","Changeup",-1.9,-2,"106",14.7,"40","0.237","0.316","0.23",15.2,15,13.3,"0.213","0.313","0.228",29.4
"Friedl, TJ",670770,"CIN","SI","Sinker",-1.9,-3,"152",16.3,"40","0.2","0.229","0.276",5.6,5,10.5,"0.193","0.226","0.246",18.2
"Báez, Javier",595879,"DET","FF","4-Seam Fastball",-0.3,0,"166",27.9,"40","0.2","0.35","0.235",31.7,30,22.6,"0.259","0.506","0.322",57.1
"Semien, Marcus",543760,"TEX","SL","Slider",-3,-5,"182",20.1,"40","0.086","0.171","0.165",35.3,30,21.8,"0.186","0.326","0.275",37.5
"Tena, José",677588,"WSH","FF","4-Seam Fastball",-0.2,0,"162",32.9,"40","0.314","0.457","0.394",13.6,17.5,12.7,"0.282","0.465","0.359",48.3
"Jeffers, Ryan",680777,"MIN","SI","Sinker",-3.8,-6,"166",22.7,"40","0.158","0.237","0.196",10.3,32.5,34.2,"0.187","0.31","0.235",48
"Varsho, Daulton",662139,"TOR","FF","4-Seam Fastball",-1.4,-2,"143",39.6,"40","0.108","0.378","0.234",25,32.5,32.5,"0.209","0.541","0.34",54.2
"Merrill, Jackson",701538,"SD","FF","4-Seam Fastball",0.9,1,"132",32.1,"40","0.343","0.429","0.384",18.7,17.5,23.3,"0.314","0.515","0.396",42.9
"Arenado, Nolan",571448,"STL","SL","Slider",0.3,0,"167",20.6,"40","0.219","0.469","0.353",31.3,15,11.5,"0.234","0.435","0.354",29.6
"Dingler, Dillon",693307,"DET","FF","4-Seam Fastball",0.1,0,"161",26.8,"40","0.27","0.405","0.323",27.1,37.5,28.8,"0.277","0.553","0.375",68.2
"Baty, Brett",683146,"NYM","FF","4-Seam Fastball",-0.3,0,"172",35.5,"39","0.235","0.324","0.303",32.1,35.9,25.9,"0.262","0.48","0.363",45
"Volpe, Anthony",683011,"NYY","SL","Slider",-1.8,-2,"135",14.1,"39","0.152","0.273","0.246",28.6,28.2,29.7,"0.173","0.313","0.257",37.5
"Cabrera, Oswaldo",665828,"NYY","FF","4-Seam Fastball",-1.5,-2,"152",34.5,"39","0.161","0.29","0.291",27.5,20.5,21.1,"0.227","0.32","0.301",44
"Suárez, Eugenio",553993,"AZ","SL","Slider",0.5,1,"152",16.1,"39","0.194","0.361","0.271",42.9,30.8,24,"0.21","0.35","0.273",20.8
"Naylor, Josh",647304,"AZ","SL","Slider",-1,-1,"121",15.4,"39","0.222","0.333","0.276",27.6,15.4,19.4,"0.254","0.436","0.325",30
"Springer, George",543807,"TOR","SI","Sinker",2.3,4,"158",18.9,"39","0.367","0.433","0.433",18.3,2.6,3.7,"0.383","0.718","0.518",55.2
"Clement, Ernie",676391,"TOR","SL","Slider",-1.7,-2,"107",19.2,"39","0.171","0.257","0.262",20.6,15.4,25,"0.225","0.289","0.247",19.4
"Duran, Jarren",680776,"BOS","SL","Slider",-1.5,-2,"128",12.8,"39","0.211","0.316","0.238",30.1,30.8,30.8,"0.227","0.339","0.254",46.2
"Suzuki, Seiya",673548,"CHC","SL","Slider",0.7,1,"170",16.7,"39","0.216","0.432","0.299",36.5,25.6,16.4,"0.212","0.334","0.247",35.7
"Espinal, Santiago",669289,"CIN","SI","Sinker",1.3,2,"123",17.5,"39","0.344","0.344","0.426",8.9,5.1,7.7,"0.258","0.316","0.329",30
"Arias, Gabriel",672356,"CLE","SI","Sinker",-0.8,-1,"136",19.1,"39","0.294","0.324","0.329",31.6,12.8,17.2,"0.248","0.464","0.352",44.8
"Amador, Adael",691182,"COL","FF","4-Seam Fastball",-0.4,-1,"145",38.9,"39","0.242","0.333","0.309",14.3,23.1,22,"0.283","0.396","0.345",20
"Nootbaar, Lars",663457,"STL","SL","Slider",0.7,1,"151",14.5,"39","0.152","0.394","0.262",30.2,33.3,24.5,"0.2","0.362","0.281",50
"Torres, Gleyber",650402,"DET","SI","Sinker",4.6,5,"113",14.3,"39","0.414","0.793","0.559",5.9,5.1,9.1,"0.357","0.713","0.513",44.4
"Ramos, Heliot",671218,"SF","SL","Slider",-0.2,0,"136",14.5,"39","0.243","0.351","0.288",32.4,28.2,25,"0.243","0.487","0.328",57.7
"Lee, Jung Hoo",808982,"SF","CH","Changeup",1.1,1,"122",13.5,"39","0.297","0.486","0.336",22.4,10.3,10,"0.291","0.405","0.305",23.5
"Meyers, Jake",676694,"HOU","SL","Slider",0.4,0,"138",19.9,"39","0.297","0.486","0.372",39.1,30.8,27.9,"0.283","0.395","0.33",24
"Alvarez, Yordan",670541,"HOU","FF","4-Seam Fastball",-1.7,-3,"167",34.1,"39","0.147","0.265","0.188",11.8,12.8,9.3,"0.253","0.505","0.354",43.8
"Biggio, Cavan",624415,"KC","FF","4-Seam Fastball",-0.3,0,"143",41.9,"39","0.212","0.364","0.315",13.8,15.4,18.2,"0.256","0.457","0.363",44.4
"Garcia, Maikel",672580,"KC","SI","Sinker",2.4,4,"160",18.3,"39","0.471","0.647","0.513",8.8,15.4,16.7,"0.313","0.467","0.382",64.3
"Pasquantino, Vinnie",686469,"KC","CH","Changeup",0.9,1,"134",15.2,"39","0.256","0.41","0.287",30.2,23.1,17,"0.249","0.443","0.292",33.3
"Tellez, Rowdy",642133,"SEA","FF","4-Seam Fastball",5.2,7,"140",26.5,"39","0.303","0.818","0.479",16.7,20.5,22.2,"0.333","0.85","0.527",69.2
"O'Hoppe, Logan",681351,"LAA","SI","Sinker",0.7,1,"138",18.3,"39","0.4","0.571","0.451",16.4,12.8,18.5,"0.329","0.495","0.388",40
"Hernández, Teoscar",606192,"LAD","SL","Slider",3.2,4,"126",18.8,"39","0.306","0.639","0.419",44.4,33.3,31.7,"0.296","0.518","0.373",47.8
"Betts, Mookie",605141,"LAD","SI","Sinker",0.6,1,"122",13.4,"39","0.314","0.486","0.381",3.9,7.7,14.3,"0.313","0.447","0.365",40.6
"Hayes, Ke'Bryan",663647,"PIT","SL","Slider",0.4,1,"137",16.4,"39","0.212","0.333","0.306",33.3,15.4,16.2,"0.232","0.279","0.296",44.4
"Turang, Brice",668930,"MIL","SL","Slider",-1.5,-2,"139",13.6,"39","0.171","0.171","0.216",35.5,30.8,23.5,"0.183","0.252","0.241",39.1
"Taylor, Tyrone",621438,"NYM","FF","4-Seam Fastball",0.8,1,"157",26.6,"39","0.361","0.5","0.391",11.8,20.5,18.6,"0.278","0.346","0.294",31
"Realmuto, J.T.",592663,"PHI","SI","Sinker",-1.7,-2,"110",14,"39","0.289","0.368","0.299",15,7.7,18.8,"0.341","0.488","0.365",45.7
"Turner, Trea",607208,"PHI","SI","Sinker",1.3,2,"141",14.7,"39","0.306","0.361","0.39",14.5,7.7,13.6,"0.287","0.338","0.322",51.5
"Benintendi, Andrew",643217,"CWS","FF","4-Seam Fastball",-0.5,-1,"141",29,"38","0.182","0.394","0.325",21.7,21.1,22.9,"0.203","0.515","0.35",48
"Neto, Zach",687263,"LAA","FF","4-Seam Fastball",0.9,1,"124",17.9,"38","0.242","0.758","0.426",20.3,26.3,20.8,"0.287","0.862","0.503",54.2
"Robert Jr., Luis",673357,"CWS","SL","Slider",-2.4,-3,"130",16.4,"38","0.143","0.2","0.192",42.4,36.8,29.8,"0.263","0.469","0.34",57.1
"O'Hoppe, Logan",681351,"LAA","FF","4-Seam Fastball",1.2,2,"198",26.2,"38","0.314","0.571","0.403",25,39.5,23.1,"0.278","0.587","0.388",55
"Harris II, Michael",671739,"ATL","SI","Sinker",-5.1,-7,"142",17.7,"38","0.094","0.094","0.163",10.8,7.9,13.6,"0.231","0.259","0.274",33.3
"Lee, Brooks",686797,"MIN","FF","4-Seam Fastball",2.4,3,"144",23.5,"38","0.353","0.588","0.416",13.5,13.2,13.5,"0.268","0.552","0.382",40
"Arozarena, Randy",668227,"SEA","SL","Slider",0.1,0,"135",13.4,"38","0.2","0.367","0.336",41.5,44.7,26.6,"0.135","0.202","0.262",30.8
"Thomas, Alek",677950,"AZ","FF","4-Seam Fastball",-0.4,-1,"139",25.1,"38","0.257","0.486","0.325",20.9,26.3,30.3,"0.255","0.52","0.359",61.5
"Perdomo, Geraldo",672695,"AZ","SL","Slider",2,2,"121",12.1,"38","0.3","0.467","0.371",12.5,13.2,13.5,"0.262","0.372","0.335",40.7
"Turang, Brice",668930,"MIL","SI","Sinker",1.5,2,"147",14.4,"38","0.375","0.438","0.437",9,5.3,6.1,"0.316","0.434","0.381",43.3
"Durbin, Caleb",702332,"MIL","SI","Sinker",1.2,1,"117",23.4,"38","0.321","0.464","0.427",8.7,2.6,9.1,"0.241","0.297","0.346",35.7
"Sánchez, Jesús",660821,"MIA","FF","4-Seam Fastball",0.6,1,"222",36.3,"38","0.294","0.559","0.396",27.7,18.4,11.5,"0.308","0.623","0.426",59.3
"Andujar, Miguel",609280,"ATH","FF","4-Seam Fastball",2.1,3,"125",20.8,"38","0.382","0.471","0.414",11.3,7.9,8.6,"0.282","0.423","0.334",46.9
"Crow-Armstrong, Pete",691718,"CHC","SL","Slider",4.1,4,"109",12.7,"38","0.333","0.667","0.417",34.5,26.3,24.4,"0.211","0.419","0.271",40.7
"Albies, Ozzie",645277,"ATL","CH","Changeup",-0.5,-1,"117",13.6,"38","0.297","0.297","0.303",12.9,2.6,3.6,"0.261","0.327","0.267",22.2
"Kiner-Falefa, Isiah",643396,"PIT","SI","Sinker",0.6,1,"132",21.2,"38","0.324","0.412","0.362",8,13.2,23.8,"0.296","0.381","0.335",31
"Lopez, Otto",672640,"MIA","FF","4-Seam Fastball",-0.3,0,"160",28.1,"38","0.212","0.424","0.358",11.3,10.5,12.1,"0.306","0.562","0.412",48.3
"Jansen, Danny",643376,"TB","FF","4-Seam Fastball",-0.7,-1,"177",31.3,"38","0.179","0.179","0.303",25.8,15.8,13.6,"0.194","0.381","0.363",31.8
"Díaz, Elias",553869,"SD","FF","4-Seam Fastball",-1,-1,"155",32.4,"38","0.226","0.355","0.333",30.6,26.3,21.7,"0.192","0.28","0.294",47.6
"Clemens, Kody",665019,"MIN","FF","4-Seam Fastball",0.1,0,"150",47.9,"38","0.2","0.486","0.316",33.3,39.5,34.9,"0.256","0.558","0.37",70
"Chisholm Jr., Jazz",665862,"NYY","FF","4-Seam Fastball",-0.2,0,"142",26.6,"38","0.182","0.455","0.321",28.8,23.7,20.5,"0.253","0.678","0.426",50
"Gorman, Nolan",669357,"STL","FF","4-Seam Fastball",-2.2,-3,"145",36.2,"38","0.1","0.133","0.209",25.8,26.3,21.7,"0.135","0.263","0.298",47.6
"Larnach, Trevor",663616,"MIN","SI","Sinker",1.3,2,"142",16.3,"37","0.333","0.455","0.405",21.4,18.9,22.6,"0.272","0.352","0.318",57.7
"McKinstry, Zach",656716,"DET","SI","Sinker",3.2,4,"115",13.7,"37","0.367","0.533","0.472",13,13.5,20.8,"0.251","0.294","0.325",32
"Chapman, Matt",656305,"SF","SL","Slider",3.5,5,"147",14.9,"37","0.241","0.69","0.469",29.4,24.3,17.3,"0.269","0.777","0.509",65
"Garcia, Maikel",672580,"KC","SL","Slider",-0.1,0,"161",18.4,"37","0.324","0.412","0.335",23,10.8,13.8,"0.321","0.468","0.347",41.9
"Palacios, Joshua",641943,"CWS","FF","4-Seam Fastball",0.3,1,"166",35.9,"37","0.294","0.471","0.359",19.5,16.2,11.3,"0.25","0.448","0.328",46.4
"Crawford, J.P.",641487,"SEA","SL","Slider",0.9,1,"122",12.5,"37","0.219","0.25","0.342",23,21.6,18.2,"0.32","0.457","0.403",41.7
"Walker, Jordan",691023,"STL","SI","Sinker",-0.3,0,"173",24.7,"37","0.324","0.353","0.315",22.7,27,23.3,"0.283","0.32","0.292",56
"Ohtani, Shohei",660271,"LAD","SL","Slider",2.2,4,"161",15.8,"37","0.344","0.719","0.459",39.2,24.3,19.1,"0.372","0.96","0.562",62.5
"Lowe, Brandon",664040,"TB","SI","Sinker",-1.1,-1,"113",14.1,"37","0.219","0.438","0.334",21.7,13.5,26.3,"0.336","0.765","0.494",59.3
"Hernández, Enrique",571771,"LAD","FF","4-Seam Fastball",0,0,"158",31.2,"37","0.226","0.452","0.343",27.4,21.6,20,"0.28","0.525","0.384",50
"Aranda, Jonathan",666018,"TB","SI","Sinker",-0.5,-1,"139",16,"37","0.281","0.313","0.323",16.1,13.5,14.7,"0.315","0.455","0.381",63
"Steer, Spencer",668715,"CIN","SL","Slider",-2.6,-4,"137",16.5,"37","0.139","0.167","0.174",35.7,24.3,17.3,"0.202","0.268","0.216",29.6
"Urías, Luis",649966,"ATH","FF","4-Seam Fastball",1.7,3,"152",24.8,"37","0.333","0.515","0.403",11.8,13.5,10.4,"0.252","0.41","0.328",32.1
"Ramírez, Agustín",682663,"MIA","FF","4-Seam Fastball",0.2,0,"135",27.4,"37","0.29","0.516","0.4",19.2,18.9,21.2,"0.287","0.544","0.407",62.5
"Reynolds, Bryan",668804,"PIT","SI","Sinker",1.8,2,"113",11.6,"37","0.323","0.581","0.428",18.5,16.2,21.4,"0.347","0.673","0.477",57.7
"Contreras, William",661388,"MIL","SI","Sinker",0.2,0,"151",16.6,"37","0.303","0.455","0.368",14.1,5.4,11.1,"0.323","0.506","0.394",45.2
"Ozuna, Marcell",542303,"ATL","SL","Slider",0.9,2,"182",17.7,"37","0.194","0.419","0.334",40,29.7,18.6,"0.193","0.437","0.317",38.1
"Bride, Jonah",681146,"MIN","FF","4-Seam Fastball",1.7,2,"117",25.4,"37","0.355","0.387","0.42",4.2,16.2,17.6,"0.274","0.364","0.331",38.5
"Schwarber, Kyle",656941,"PHI","SL","Slider",-2.2,-4,"199",18.2,"37","0.094","0.188","0.197",50,32.4,22.2,"0.193","0.342","0.291",45
"Rice, Ben",700250,"NYY","SL","Slider",-1.3,-2,"132",18.4,"37","0.125","0.219","0.246",46.7,43.2,41,"0.157","0.283","0.256",50
"Wood, James",695578,"WSH","SL","Slider",2.7,4,"163",15.1,"37","0.286","0.643","0.464",44.3,27,19.6,"0.296","0.777","0.505",72.2
"Naylor, Josh",647304,"AZ","SI","Sinker",4.9,5,"111",14.2,"36","0.433","0.667","0.517",9.4,13.9,21.7,"0.304","0.521","0.391",53.8
"Torkelson, Spencer",679529,"DET","SL","Slider",1.5,2,"139",14.7,"36","0.257","0.6","0.365",41,44.4,41,"0.249","0.523","0.333",52.6
"Donovan, Brendan",680977,"STL","SL","Slider",1.2,1,"115",13.1,"36","0.333","0.485","0.374",17.5,13.9,14.7,"0.327","0.53","0.382",51.7
"Caratini, Victor",605170,"HOU","FF","4-Seam Fastball",0.1,0,"142",33.4,"36","0.3","0.333","0.351",9.7,13.9,16.1,"0.284","0.441","0.374",48
"Young, Jacob",696285,"WSH","FF","4-Seam Fastball",-0.1,0,"153",33.8,"36","0.276","0.31","0.351",9.7,13.9,11.6,"0.328","0.366","0.362",34.6
"Happ, Ian",664023,"CHC","CH","Changeup",-2.6,-4,"142",15.4,"36","0.118","0.147","0.149",31.8,16.7,16.2,"0.213","0.274","0.239",32.1
"Lindor, Francisco",596019,"NYM","CH","Changeup",-1,-2,"157",15.1,"36","0.171","0.257","0.199",15.2,11.1,8,"0.181","0.308","0.22",25.8
"Soto, Juan",665742,"NYM","SL","Slider",-1.5,-2,"140",13.1,"36","0.129","0.161","0.207",26.8,30.6,20,"0.194","0.245","0.261",50
"Vaughn, Andrew",683734,"CWS","SI","Sinker",-3.1,-3,"112",14.8,"36","0.118","0.206","0.194",23,16.7,28.6,"0.306","0.505","0.366",46.4
"White, Eli",642201,"ATL","SI","Sinker",-2.6,-3,"125",24.9,"36","0.206","0.206","0.239",8.2,13.9,20.8,"0.283","0.424","0.324",37.9
"Allen, Nick",669397,"ATL","SI","Sinker",-2.8,-4,"140",22.7,"36","0.219","0.219","0.24",12.7,19.4,28,"0.239","0.292","0.269",38.5
